LocationId,Name,ParentId,Level,Active,IsDeleted,IsShow,Code,ParentName,Path
2625209145,Xã Tứ Trưng,2625200000,3,1,0,1,xa tu trung,Huyện Vĩnh Tường,root/tinhvinhphuc/huyenvinhtuong/xatutrung
2625209148,Xã Ngũ Kiên,2625200000,3,1,0,1,xa ngu kien,Huyện Vĩnh Tường,root/tinhvinhphuc/huyenvinhtuong/xangukien
2625209151,Xã An Tường,2625200000,3,1,0,1,xa an tuong,Huyện Vĩnh Tường,root/tinhvinhphuc/huyenvinhtuong/xaantuong
2625209154,Xã Vĩnh Thịnh,2625200000,3,1,0,1,xa vinh thinh,Huyện Vĩnh Tường,root/tinhvinhphuc/huyenvinhtuong/xavinhthinh
2625209157,Xã Phú Đa,2625200000,3,1,0,1,xa phu da,Huyện Vĩnh Tường,root/tinhvinhphuc/huyenvinhtuong/xaphuda
2625209160,Xã Vĩnh Ninh,2625200000,3,1,0,1,xa vinh ninh,Huyện Vĩnh Tường,root/tinhvinhphuc/huyenvinhtuong/xavinhninh
2625300000,Huyện Sông Lô,2600000000,2,1,0,1,huyen song lo,Tỉnh Vĩnh Phúc,root/tinhvinhphuc/huyensonglo
2625300001,Thị trấn Tam Sơn,2625300000,3,1,0,1,thi tran tam son,Huyện Sông Lô,root/tinhvinhphuc/huyensonglo/thitrantamson
2625300002,Xã Bạch Lưu,2625300000,3,1,0,1,xa bach luu,Huyện Sông Lô,root/tinhvinhphuc/huyensonglo/xabachluu
2625300003,Xã Cao Phong,2625300000,3,1,0,1,xa cao phong,Huyện Sông Lô,root/tinhvinhphuc/huyensonglo/xacaophong
2625300004,Xã Đôn Nhân,2625300000,3,1,0,1,xa don nhan,Huyện Sông Lô,root/tinhvinhphuc/huyensonglo/xadonnhan
2625300005,Xã Đồng Quế,2625300000,3,1,0,1,xa dong que,Huyện Sông Lô,root/tinhvinhphuc/huyensonglo/xadongque
2625300006,Xã Đồng Thịnh,2625300000,3,1,0,1,xa dong thinh,Huyện Sông Lô,root/tinhvinhphuc/huyensonglo/xadongthinh
2625300007,Xã Đức Bác,2625300000,3,1,0,1,xa duc bac,Huyện Sông Lô,root/tinhvinhphuc/huyensonglo/xaducbac
2625300008,Xã Hải Lựu,2625300000,3,1,0,1,xa hai luu,Huyện Sông Lô,root/tinhvinhphuc/huyensonglo/xahailuu
2625300009,Xã Lãng Công,2625300000,3,1,0,1,xa lang cong,Huyện Sông Lô,root/tinhvinhphuc/huyensonglo/xalangcong
2625300010,Xã Nhạo Sơn,2625300000,3,1,0,1,xa nhao son,Huyện Sông Lô,root/tinhvinhphuc/huyensonglo/xanhaoson
2625300011,Xã Nhân Đạo,2625300000,3,1,0,1,xa nhan dao,Huyện Sông Lô,root/tinhvinhphuc/huyensonglo/xanhandao
2625300012,Xã Như Thụy,2625300000,3,1,0,1,xa nhu thuy,Huyện Sông Lô,root/tinhvinhphuc/huyensonglo/xanhuthuy
2625300013,Xã Phương Khoan,2625300000,3,1,0,1,xa phuong khoan,Huyện Sông Lô,root/tinhvinhphuc/huyensonglo/xaphuongkhoan
2625300014,Xã Quang Yên,2625300000,3,1,0,1,xa quang yen,Huyện Sông Lô,root/tinhvinhphuc/huyensonglo/xaquangyen
2625300015,Xã Tam Sơn,2625300000,3,1,0,1,xa tam son,Huyện Sông Lô,root/tinhvinhphuc/huyensonglo/xatamson
2625300016,Xã Tân Lập,2625300000,3,1,0,1,xa tan lap,Huyện Sông Lô,root/tinhvinhphuc/huyensonglo/xatanlap
2625300017,Xã Tứ Yên,2625300000,3,1,0,1,xa tu yen,Huyện Sông Lô,root/tinhvinhphuc/huyensonglo/xatuyen
2625300018,Xã Yên Thạch,2625300000,3,1,0,1,xa yen thach,Huyện Sông Lô,root/tinhvinhphuc/huyensonglo/xayenthach
2700000000,Tỉnh Bắc Ninh,9999999999,1,1,0,1,tinh bac ninh,Các Tỉnh Thành,root/tinhbacninh
2725600000,Thành phố Bắc Ninh,2700000000,2,1,0,1,thanh pho bac ninh,Tỉnh Bắc Ninh,root/tinhbacninh/thanhphobacninh
2725600001,Phường Khúc Xuyên,2725600000,3,1,0,1,phuong khuc xuyen,Thành phố Bắc Ninh,root/tinhbacninh/thanhphobacninh/phuongkhucxuyen
2725600002,Phường Phong Khê,2725600000,3,1,0,1,phuong phong khe,Thành phố Bắc Ninh,root/tinhbacninh/thanhphobacninh/phuongphongkhe
2725600003,Phường Khắc Niệm,2725600000,3,1,0,1,phuong khac niem,Thành phố Bắc Ninh,root/tinhbacninh/thanhphobacninh/phuongkhacniem
2725609163,Phường Vũ Ninh,2725600000,3,1,0,1,phuong vu ninh,Thành phố Bắc Ninh,root/tinhbacninh/thanhphobacninh/phuongvuninh
2725609166,Phường Đáp Cầu,2725600000,3,1,0,1,phuong dap cau,Thành phố Bắc Ninh,root/tinhbacninh/thanhphobacninh/phuongdapcau
2725609169,Phường Thị Cầu,2725600000,3,1,0,1,phuong thi cau,Thành phố Bắc Ninh,root/tinhbacninh/thanhphobacninh/phuongthicau
2725609172,Phường Kinh Bắc,2725600000,3,1,0,1,phuong kinh bac,Thành phố Bắc Ninh,root/tinhbacninh/thanhphobacninh/phuongkinhbac
2725609175,Phường Vệ An,2725600000,3,1,0,1,phuong ve an,Thành phố Bắc Ninh,root/tinhbacninh/thanhphobacninh/phuongvean
2725609178,Phường Tiền An,2725600000,3,1,0,1,phuong tien an,Thành phố Bắc Ninh,root/tinhbacninh/thanhphobacninh/phuongtienan
2725609181,Phường Đại Phúc,2725600000,3,1,0,1,phuong dai phuc,Thành phố Bắc Ninh,root/tinhbacninh/thanhphobacninh/phuongdaiphuc
2725609184,Phường Ninh Xá,2725600000,3,1,0,1,phuong ninh xa,Thành phố Bắc Ninh,root/tinhbacninh/thanhphobacninh/phuongninhxa
